序号,2、您的年龄？,3、你的性别？,7、您现在身高？(单位：厘米),9、你爸爸的身高？(单位：厘米),10、你妈妈身高？（单位：厘米）,12、你在上中学之前，由家人带着去电影院的次数？,13、你出生时你妈妈的年龄？,14、在上大学之前，你是否有过出境(港澳台)或出国旅游的经历？,19、你们兄弟姐妹有几人？
2,21,2,178,173,165,3,31,2,1
79,20,1,162,175,160,1,20,2,2
92,19,2,180,178,170,1,,2,2
155,21,1,169,163,158,1,,2,2
170,,2,171,165,167,1,21,2,1
205,22,2,178,175,168,1,22,2,2
367,22,2,177,173,165,1,23,2,2
416,22,2,178,180,165,3,,1,1
494,,1,162,170,160,3,,2,1
521,19,1,162,176,158,2,,2,1
808,,1,169,172,165,2,30,2,2
858,21,2,175,177,168,2,,2,3
945,20,1,158,170,156,2,24,2,2
971,20,1,163,165,155,1,20,2,3
972,20,1,162,165,155,1,,2,3
1000,20,1,160,180,160,1,,2,1
1056,20,1,168,173,160,2,,2,1
1072,21,2,182,170,170,2,,2,1
1073,20,1,165,175,168,2,,2,1
1122,22,2,173,170,163,2,26,1,1
1144,18,1,160,172,155,1,,2,1
1182,20,1,163,170,160,2,23,2,1
1197,20,1,165,175,168,2,,2,1
1255,20,1,167,175,165,2,23,2,1
1296,,1,153,172,153,1,,2,1
609,21,2,179,168,158,2,26,2,2
25,20,2,177,175,165,2,25,2,1
250,25,1,159,173,160,1,29,2,2
264,22,1,170,174,163,3,25,2,1
271,23,1,160,170,155,2,25,2,2
311,20,1,163,175,161,1,23,2,1
560,20,1,168,180,165,3,24,1,4
746,20,2,180,175,162,1,23,1,2
1065,22,1,160,178,162,2,24,2,2
1081,20,1,162,178,163,2,25,1,1
1109,20,2,180,185,170,2,25,2,1
1224,20,2,175,173,160,2,,2,2
1260,21,2,179,167,168,1,25,1,1
1331,20,2,172,170,160,2,25,2,1
468,21,1,158,175,158,1,22,2,3
42,21,1,172,179,163,2,27,1,1
231,21,1,164,158,169,1,18,2,1
346,22,2,170,168,160,1,25,2,1
692,21,2,178,176,165,2,38,1,4
761,19,1,160,179,160,3,25,2,1
766,20,2,165,168,155,1,25,2,1
796,20,2,184,175,160,1,21,2,3
1123,20,1,166,165,158,1,28,1,1
1188,20,1,166,165,158,1,28,1,1
1203,20,1,168,172,168,3,24,2,2
1169,19,2,172,167,155,1,26,2,1
1184,18,2,178,175,160,1,26,2,1
624,22,2,177,175,162,1,21,2,2
1137,22,2,172,168,160,2,32,2,2
453,21,2,180,172,160,2,23,2,2
21,19,2,178,176,160,2,24,2,2
30,19,2,177,174,165,1,29,2,1
31,20,2,180,173,159,1,23,2,1
64,20,1,155,175,165,2,27,2,2
107,20,1,170,175,165,2,25,1,1
132,21,2,183,180,165,3,24,2,1
145,20,1,160,170,160,2,24,2,1
165,20,1,163,176,160,2,30,1,2
189,19,1,163,173,158,2,24,2,1
227,19,1,166,174,156,3,23,2,2
244,24,1,158,170,168,1,27,2,1
300,19,1,160,170,160,2,28,2,2
328,20,1,168,182,165,2,22,2,3
333,21,1,167,178,160,1,32,2,1
357,20,2,175,178,168,1,20,2,2
369,20,1,173,178,170,3,31,2,2
390,20,2,180,172,168,2,26,1,2
452,22,2,170,175,153,1,26,2,2
455,22,1,163,168,168,2,24,1,1
511,19,1,168,172,167.5,1,24,2,1
532,21,2,175,174,158,1,24,2,1
543,21,2,178,175,168,2,25,1,1
569,21,2,175,172,164,1,,2,2
575,20,2,170,168,165,2,21,2,2
578,21,2,172,170,160,1,20,1,2
584,22,1,160,168,153,2,29,2,2
588,21,2,172,178,160,2,27,1,2
600,20,1,156.5,179.9,150,2,22,2,1
604,19,1,160,168,155,1,27,2,1
612,20,2,179,177,166,2,26,2,2
613,20,2,155,173,165,1,20,1,2
621,18,1,169,168,167,1,35,2,1
628,20,1,163,170,163,1,22,2,1
633,21,2,178,168,165,2,26,1,1
655,21,2,187,170,170,1,21,2,2
658,20,2,175,168,160,1,,2,1
659,21,2,183,178,165,3,22,1,1
670,29,2,176,182,166,2,24,2,1
698,21,2,178,170,163,3,25,2,2
699,20,1,163,170,163,1,22,2,1
710,18,1,164,172,163,2,25,2,2
740,20,2,171,174,163,2,21,2,1
743,22,2,177,170,161,2,21,2,1
764,21,1,156,168,158,1,25,2,2
770,19,1,166,170,165,2,23,2,2
826,20,1,167,179,158,1,35,2,1
827,,1,160,170,157,1,25,2,1
844,21,1,166,172,160,1,23,2,1
878,20,2,169,170,159,2,,2,1
916,20,1,165,180,165,1,22,2,2
918,21,1,168,178,170,1,26,2,3
996,20,1,162,175,160,1,23,2,1
1021,20,1,158,165,160,1,23,2,2
1037,20,1,165,167,165,2,24,2,1
1074,20,1,173,176,168,1,26,1,2
1077,22,2,180,170,165,1,30,2,2
1093,19,2,171,170,162,1,19,1,2
1116,23,2,175,171,160,1,22,2,2
1119,20,2,185,172,165,2,22,2,1
1126,21,2,173,174,160,2,25,2,1
1173,21,1,158,173,160,1,22,2,2
1210,19,1,172,180,163,2,25,1,2
1215,21,1,168,165,161,1,28,2,1
1231,20,2,170,172,165,2,28,2,2
1238,20,1,158,178,160,3,22,1,2
1245,20,1,158,170,160,1,20,2,1
1265,21,1,160,180,150,3,20,1,1
1270,19,1,172,180,164,3,25,1,4
1341,20,1,163,172,165,2,25,2,1
1347,71,2,187,175,170,3,20,1,4
1355,20,2,176,160,165,2,24,1,1
1359,20,2,175,165,162,1,26,2,1
122,20,1,163,170,155,1,22,2,2
1068,21,2,179,173,159,1,24,2,1
853,21,1,167,178,162,2,30,1,2
149,20,2,160,155,145,1,33,2,2
484,20,1,169,184,163,2,23,2,1
218,23,1,155,163,161,1,18,2,2
358,21,1,162,174,160,1,22,2,2
641,20,1,155,165,160,1,22,2,3
689,22,2,179,174,160,1,22,2,2
757,21,1,162,176,160,1,20,2,2
404,,1,168,172,159,1,27,2,2
1163,21,2,175,180,160,2,22,2,1
524,21,2,189,178,167,1,23,1,2
139,19,2,170,176,165,1,22,2,2
1087,20,2,186,172,165,1,24,2,2
6,20,1,155,160,159,1,24,2,1
13,21,1,168,185,162,2,25,2,1
44,20,1,163,168,165,1,23,2,2
60,20,1,160,165,160,2,21,2,2
98,26,2,170,165,160,1,24,2,3
105,21,1,156,156,157,1,30,2,4
171,20,1,166,164,161,2,20,2,2
202,19,1,156,167,159,2,28,2,1
209,21,1,167,175,163,2,24,2,2
234,20,1,165,163,160,2,30,2,1
249,24,1,160,176,156,1,22,2,1
256,21,1,159,172,171,2,25,2,2
258,19,2,170,175,165,1,26,2,2
259,20,1,159,170,156,1,27,2,2
261,22,1,160,168,166,1,22,2,2
274,21,2,177,170,168,1,26,2,2
286,20,1,172,172,165,1,22,2,3
322,20,1,165,173,160,1,24,2,3
342,21,1,159,170,160,2,32,2,3
356,20,1,152,178,160,1,26,2,4
379,18,1,164,180,161,2,27,1,1
382,20,1,167,165,160,1,30,2,2
384,20,1,168,172,162,1,25,2,1
389,20,2,170,170,155,1,30,2,2
405,20,1,160,172,164,1,20,2,2
432,20,1,166,170,160,2,24,2,1
433,21,1,166,172,158,1,23,2,1
435,20,1,160,168,155,2,24,2,1
487,21,2,178,170,168,1,23,2,2
504,21,2,170,172,165,1,29,2,1
509,20,1,168,172,160,1,19,2,2
514,22,1,155,172,152,1,28,2,4
520,20,1,161,178,158,1,24,2,2
535,19,1,164,165,164,1,21,2,1
539,22,2,178,173,156,1,26,2,2
567,22,2,172,165,164,1,39,2,2
590,19,1,158,165,163,2,22,2,1
601,20,2,170,167,163,1,29,2,1
610,20,1,155,170,158,1,21,2,1
630,22,2,175,175,163,1,22,2,2
